CATEGORIA;LINHA;MODELO;TIPO;COD;DESCRITIVO; TABELA A ; TABELA B ; TABELA C ; Variação 
Discoso e anéis;Apollo;L-RAMPA;Produto;-;DISCO MILHO - L RAMPA; 12.20 ; 13.07 ; 11.61 ;
Discoso e anéis;Apollo;RAMPFLOW;Produto;-;DISCO MILHO RAMPFLOW; 15.41 ; 16.46 ; 14.63 ; 20 modelos com medidas diferentes 
Discoso e anéis;Apollo;BALDAN;Produto;-;DISCO MILHO  BALDAN; 15.41 ; 16.46 ; 14.63 ;
Discoso e anéis;Apollo;L-RAMPA;Produto;-;DISCO SORGO - L RAMPA; 17.25 ; 18.56 ; 16.41 ; 6 modelos com medidas diferentes 
Discoso e anéis;Apollo;RAMPFLOW;Produto;-;DISCO  FEIJÃO - RAMPFLOW; 17.25 ; 18.56 ; 16.41 ;
Discoso e anéis;Apollo;RAMPFLOW;Produto;-;DISCO SOJA - RAMPFLOW; 15.67 ; 16.46 ; 15.24 ; 9 modelos com medidas diferentes 
Discoso e anéis;Apollo;TITANIUM;Acessório;-;DISCO SOJA 56 FUROS - RAMPFLOW; 19.85 ; - ; - ;
Discoso e anéis;Apollo;TITANIUM;Acessório;-;DISCO SOJA 135 FUROS- RAMPFLOW; 19.84 ; - ; - ;
Discoso e anéis;Apollo;L-RAMPA;Produto;-;DISCO CANOLA L-RAMPA MOD U 128; 53.85 ; - ; - ;
Discoso e anéis;Apollo;RAMPFLOW;Produto;-;DISCO ALGODAO RAMPFLOW  108 F; 19.84 ; - ; - ; 2 modelos com medidas diferentes 
Discoso e anéis;TITANIUM;TITANIUM;Acessório;-;DISCO GIRASSOL TITANIUM 48 F; 56.26 ;; - ;
Discoso e anéis;TITANIUM;TITANIUM;Acessório;-;DISCO AMENDOIM TITANIUM 56 E 60 F; 245.01 ; - ; - ; 4 modelos com medidas diferentes 
Discoso e anéis;Apollo;UNIVERSAL;Produto;-;ANEL MILHO/SOJA / FEIJÃO MOD. UNIV.; 7.64 ; 7.72 ; 7.55 ;
Discoso e anéis;Apollo;UNIVERSAL;Produto;-;ANEL MILHO/SOJA MOD. JUMIL; 10.04 ; 10.15 ; 9.92 ;
Discoso e anéis;Apollo;UNIVERSAL;Produto;-;ANEL SORGO MOD UNIVERSAL; 13.23 ; 15.21 ; 11.51 ;
Discoso e anéis;Apollo;JUMIL;Produto;-;ANEL SORGO MOD JUMIL; 12.16 ; - ; - ;
Discoso e anéis;Apollo;BALDAN;Produto;-;ANEL MILHO  BALDAN -DUPLA FACE; 10.04 ; 10.15 ; 9.92 ;
Discoso e anéis;Apollo;BALDAN;Produto;-;ANEL MILHO BALDAN -LISO; 7.64 ; 7.72 ; 7.55 ;
Discoso e anéis;Apollo;BALDAN;Produto;-;ANEL MILHO BALDAN - 1 MM, 2 MM; 7.64 ; 7.72 ; 7.55 ;
Discoso e anéis;TITANIUM;TITANIUM;Acessório;-;ANEL FEIJAO TITANIUM (MILHO); 12.16 ; - ; - ; 5 modelos com medidas diferentes 
Discoso e anéis;TITANIUM;TITANIUM;Acessório;-;ANEL SOJA P TITANIUM  135 F; 12.16 ; - ; - ;
Discoso e anéis;TITANIUM;TITANIUM;Acessório;-;ANEL SORGO TITANIUM; 12.16 ; - ; - ;
